TreeDepth,PID,Process,Args
0,4,System,Required memory at 0x20 is not valid (process exited?)
0,388,smss.exe,"\SystemRoot\System32\smss.exe"
0,540,smss.exe,Required memory at 0x5c14c37020 is not valid (process exited?)
0,552,csrss.exe,"%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16"
0,624,smss.exe,Required memory at 0x374fe78020 is not valid (process exited?)
0,632,wininit.exe,wininit.exe
0,648,csrss.exe,"%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16"
0,724,winlogon.exe,winlogon.exe
0,740,services.exe,"C:\WINDOWS\system32\services.exe"
0,772,lsass.exe,"C:\WINDOWS\system32\lsass.exe"
0,868,svchost.exe,"C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p"
0,892,fontdrvhost.ex,"""fontdrvhost.exe"""
0,900,fontdrvhost.ex,"""fontdrvhost.exe"""
0,988,svchost.exe,"C:\WINDOWS\system32\svchost.exe -k RPCSS -p"
0,432,dwm.exe,"""dwm.exe"""
0,556,svchost.exe,"C:\WINDOWS\system32\svchost.exe -k netsvcs -p"
0,652,svchost.exe,"C:\WINDOWS\System32\svchost.exe -k NetworkService"
0,848,svchost.exe,"C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p"
0,692,svchost.exe,"C:\WINDOWS\system32\svchost.exe -k LocalService -p"
0,1064,svchost.exe,"C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
0,1072,svchost.exe,"C:\WINDOWS\system32\svchost.exe -k LocalService"
0,1100,svchost.exe,"C:\WINDOWS\system32\svchost.exe -k NetworkService -p"
0,1152,svchost.exe,"C:\WINDOWS\system32\svchost.exe -k LocalServiceNoNetwork -p"
0,1392,vmacthlp.exe,"""C:\Program Files\VMware\VMware Tools\vmacthlp.exe"""
0,1484,MemCompression,Required memory at 0x20 is not valid (process exited?)
0,1592,svchost.exe,"C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p"
0,1696,svchost.exe,"C:\WINDOWS\system32\svchost.exe -k netsvcs"
0,1812,svchost.exe,"C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p"
0,1844,svchost.exe,"C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
0,1868,svchost.exe,"C:\WINDOWS\system32\svchost.exe -k NetworkServiceNetworkRestricted -p"
0,1040,spoolsv.exe,"C:\WINDOWS\System32\spoolsv.exe"
0,2152,armsvc.exe,"""C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\armsvc.exe"""
0,2164,svchost.exe,"C:\WINDOWS\System32\svchost.exe -k utcsvc -p"
0,2176,HipMgmt.exe,"""C:\Program Files (x86)\McAfee\Host Intrusion Prevention\HipMgmt.exe"""
0,2184,masvc.exe,"""C:\Program Files\McAfee\Agent\masvc.exe"" /ServiceStart"
0,2196,FireSvc.exe,"""C:\Program Files\McAfee\Host Intrusion Prevention\FireSvc.exe"""
0,2204,VsTskMgr.exe,"""C:\Program Files (x86)\McAfee\VirusScan Enterprise\VsTskMgr.exe"""
0,2228,macmnsvc.exe,"""C:\Program Files\McAfee\Agent\macmnsvc.exe"" /ServiceStart"
0,2248,mfemms.exe,"""C:\Program Files\Common Files\McAfee\SystemCore\mfemms.exe"""
0,2360,SecurityHealth,"C:\WINDOWS\system32\SecurityHealthService.exe"
0,2400,VGAuthService.,"""C:\Program Files\VMware\VMware Tools\VMware VGAuth\VGAuthService.exe"""
0,2416,vmtoolsd.exe,"""C:\Program Files\VMware\VMware Tools\vmtoolsd.exe"""
0,2432,ManagementAgen,"""C:\Program Files\VMware\VMware Tools\VMware CAF\pme\bin\ManagementAgentHost.exe"""
0,2876,WmiPrvSE.exe,"C:\WINDOWS\system32\wbem\wmiprvse.exe"
0,1388,mfevtps.exe,"""C:\WINDOWS\system32\mfevtps.exe"""
0,2572,FireTray.exe,Required memory at 0xe8f020 is not valid (process exited?)
0,3232,mfeann.exe,"""C:\Program Files (x86)\McAfee\VirusScan Enterprise\mfeann.exe"""
0,3248,conhost.exe,"\??\C:\WINDOWS\system32\conhost.exe 0x4"
0,3552,svchost.exe,"C:\WINDOWS\system32\svchost.exe -k appmodel -p"
0,3584,mfevtps.exe,"""C:\WINDOWS\system32\mfevtps.exe"" -mms"
0,3756,macompatsvc.ex,"""C:\Program Files\McAfee\Agent\x86\macompatsvc.exe"""
0,3948,mfemactl.exe,"""C:\Program Files\McAfee\Agent\x86\\mfemactl.exe"" --log ""C:\ProgramData\McAfee\Agent\logs"" --ppid 2184 --interface 4D454F57010000000000000000000000C000000000000046000000000500000078454986526A705C0E45E2DD14D7EC8C023800008808600F7FF7D2A44DDF7D3900000000 "
0,4016,mfefire.exe,"""C:\Program Files\Common Files\McAfee\SystemCore\mfefire.exe"" -mms"
0,4064,mfehcs.exe,"""C:\Program Files\Common Files\McAfee\SystemCore\mfehcs.exe"" -mms"
