TreeDepth,PID,Process,Base,Size,Name,Path,LoadTime,File output
0,388,smss.exe,0x7ff64fe00000,0x25000,smss.exe,"\SystemRoot\System32\smss.exe",2018-08-30 13:51:58.000000 ,Disabled
0,388,smss.exe,0x7ff83df00000,0x1e0000,-,-,2018-08-30 13:51:58.000000 ,Disabled
0,552,csrss.exe,0x7ff767850000,0x7000,csrss.exe,"C:\WINDOWS\system32\csrss.exe",2018-08-30 13:52:20.000000 ,Disabled
0,552,csrss.exe,0x7ff83df00000,0x1e0000,-,-,2018-08-30 13:52:20.000000 ,Disabled
0,552,csrss.exe,0x7ff83a230000,0x17000,CSRSRV.dll,"C:\WINDOWS\SYSTEM32\CSRSRV.dll",2018-08-30 13:52:20.000000 ,Disabled
0,552,csrss.exe,0x7ff83a210000,0x14000,basesrv.DLL,"C:\WINDOWS\system32\basesrv.DLL",2018-08-30 13:52:20.000000 ,Disabled
0,552,csrss.exe,0x7ff83a1f0000,0x16000,winsrv.DLL,"C:\WINDOWS\system32\winsrv.DLL",2018-08-30 13:52:20.000000 ,Disabled
0,552,csrss.exe,0x7ff83a660000,0x266000,kernelbase.dll,"C:\WINDOWS\System32\kernelbase.dll",2018-08-30 13:52:20.000000 ,Disabled
0,552,csrss.exe,0x7ff83b3d0000,0xae000,kernel32.dll,"C:\WINDOWS\System32\kernel32.dll",2018-08-30 13:52:20.000000 ,Disabled
0,552,csrss.exe,0x7ff83a1d0000,0x1f000,winsrvext.dll,"C:\WINDOWS\SYSTEM32\winsrvext.dll",2018-08-30 13:52:20.000000 ,Disabled
0,552,csrss.exe,0x7ff83b4c0000,0x18f000,USER32.dll,"C:\WINDOWS\System32\USER32.dll",2018-08-30 13:52:20.000000 ,Disabled
0,552,csrss.exe,0x7ff83a9d0000,0x20000,win32u.dll,"C:\WINDOWS\System32\win32u.dll",2018-08-30 13:52:20.000000 ,Disabled
0,552,csrss.exe,0x7ff83dc60000,0x28000,GDI32.dll,"C:\WINDOWS\System32\GDI32.dll",2018-08-30 13:52:20.000000 ,Disabled
0,552,csrss.exe,0x7ff83b1e0000,0x193000,gdi32full.dll,"C:\WINDOWS\System32\gdi32full.dll",2018-08-30 13:52:20.000000 ,Disabled
