TreeDepth,PID,Process,SID,Name
0,4,System,S-1-5-18,Local System
0,4,System,S-1-5-32-544,Administrators
0,4,System,S-1-1-0,Everyone
0,4,System,S-1-5-11,Authenticated Users
0,4,System,S-1-16-16384,System Mandatory Level
0,388,smss.exe,S-1-5-18,Local System
0,388,smss.exe,S-1-5-32-544,Administrators
0,388,smss.exe,S-1-1-0,Everyone
0,388,smss.exe,S-1-5-11,Authenticated Users
0,388,smss.exe,S-1-16-16384,System Mandatory Level
0,540,smss.exe,S-1-5-18,Local System
0,540,smss.exe,S-1-5-32-544,Administrators
0,540,smss.exe,S-1-1-0,Everyone
0,540,smss.exe,S-1-5-11,Authenticated Users
0,540,smss.exe,S-1-16-16384,System Mandatory Level
0,552,csrss.exe,S-1-5-18,Local System
0,552,csrss.exe,S-1-5-32-544,Administrators
0,552,csrss.exe,S-1-1-0,Everyone
0,552,csrss.exe,S-1-5-11,Authenticated Users
0,552,csrss.exe,S-1-16-16384,System Mandatory Level
0,624,smss.exe,S-1-5-18,Local System
0,624,smss.exe,S-1-5-32-544,Administrators
0,624,smss.exe,S-1-1-0,Everyone
0,624,smss.exe,S-1-5-11,Authenticated Users
0,624,smss.exe,S-1-16-16384,System Mandatory Level
0,632,wininit.exe,S-1-5-18,Local System
0,632,wininit.exe,S-1-5-32-544,Administrators
0,632,wininit.exe,S-1-1-0,Everyone
0,632,wininit.exe,S-1-5-11,Authenticated Users
0,632,wininit.exe,S-1-16-16384,System Mandatory Level
0,648,csrss.exe,S-1-5-18,Local System
0,648,csrss.exe,S-1-5-32-544,Administrators
0,648,csrss.exe,S-1-1-0,Everyone
0,648,csrss.exe,S-1-5-11,Authenticated Users
0,648,csrss.exe,S-1-16-16384,System Mandatory Level
0,724,winlogon.exe,S-1-5-18,Local System
0,724,winlogon.exe,S-1-5-32-544,Administrators
0,724,winlogon.exe,S-1-1-0,Everyone
0,724,winlogon.exe,S-1-5-11,Authenticated Users
0,724,winlogon.exe,S-1-16-16384,System Mandatory Level
0,740,services.exe,S-1-5-18,Local System
0,740,services.exe,S-1-5-32-544,Administrators
0,740,services.exe,S-1-1-0,Everyone
0,740,services.exe,S-1-5-11,Authenticated Users
