TreeDepth,PID,Process,Offset,HandleValue,Type,GrantedAccess,Name
0,4,System,0x8c88aea4e040,0x4,Process,0x1fffff,System Pid 4
0,4,System,0x8c88aeb60040,0x8,Thread,0x1fffff,Tid 28 Pid 4
0,4,System,0x8c88aeb66a40,0xc,Mutant,0x1f0001,BcdSyncMutant
0,4,System,0xd086a2c1fbd0,0x10,Directory,0xf000f,
0,4,System,0xd086a2c17900,0x14,Directory,0xf000f,GLOBAL??
0,4,System,0x8c88aead4650,0x18,Partition,0x1f0003,MemoryPartition0
0,4,System,0xd086a2c28330,0x1c,Directory,0xf000f,KernelObjects
0,4,System,0x8c88aeb649d0,0x20,Event,0x1f0003,LowPagedPoolCondition
0,4,System,0x8c88aeb5fe80,0x24,Event,0x1f0003,HighPagedPoolCondition
0,4,System,0x8c88aeb5fe00,0x28,Event,0x1f0003,LowNonPagedPoolCondition
0,4,System,0x8c88aeb5fd80,0x2c,Event,0x1f0003,HighNonPagedPoolCondition
0,4,System,0x8c88aeb5fd00,0x30,Event,0x1f0003,LowMemoryCondition
0,4,System,0x8c88aeb5fc80,0x34,Event,0x1f0003,HighMemoryCondition
0,4,System,0x8c88aeb5fc00,0x38,Event,0x1f0003,LowCommitCondition
0,4,System,0x8c88aeb5fb80,0x3c,Event,0x1f0003,HighCommitCondition
0,4,System,0x8c88aeb5fb00,0x40,Event,0x1f0003,MaximumCommitCondition
0,4,System,0x8c88aeb5fa80,0x44,Event,0x1f0003,MemoryErrors
0,4,System,0x8c88aeb5fa00,0x48,Event,0x1f0003,PhysicalMemoryChange
0,4,System,0x8c88aeb59040,0x4c,Thread,0x1fffff,Tid 72 Pid 4
0,4,System,0xd086a2c29640,0x50,Key,0x0,
0,4,System,0xd086a2c22410,0x54,Key,0x2001f,"MACHINE\SYSTEM\CONTROLSET001\CONTROL\HIVELIST"
0,4,System,0xd086a2cde050,0x58,Key,0xf003f,"MACHINE\SYSTEM\CONTROLSET001\CONTROL\SESSION MANAGER\MEMORY MANAGEMENT\PREFETCHPARAMETERS"
0,4,System,0x8c88b04ecdb0,0x5c,Event,0x1f0003,
0,4,System,0xd086a2c03710,0x60,Key,0x20019,"MACHINE\SYSTEM\CONTROLSET001\CONTROL\NOTIFICATIONS"
0,4,System,0x8c88aeb52070,0x64,ALPC Port,0x1f0001,PowerPort
0,4,System,0x8c88aeb52e20,0x68,ALPC Port,0x1f0001,PowerMonitorPort
0,4,System,0xd086a2cdadf0,0x6c,Key,0x2001f,"MACHINE\SYSTEM\SETUP"
0,4,System,0xd086a2cde4f0,0x70,Key,0xf003f,"MACHINE\SYSTEM\DRIVERDATABASE"
0,4,System,0xd086a2c8ac70,0x74,Key,0xf003f,"MACHINE\SYSTEM\CONTROLSET001"
0,4,System,0xd086a2c1ec90,0x78,Key,0x11,"MACHINE\SYSTEM\CONTROLSET001\CONTROL\POWER"
0,4,System,0xd086a2c8ab90,0x7c,Key,0xf003f,"MACHINE\SYSTEM"
0,4,System,0xd086a2c3a4b0,0x80,Key,0xf003f,USER
0,4,System,0x8c88aeb54c00,0x84,Event,0x1f0003,
0,4,System,0xd086a34ab7b0,0x88,Key,0xf003f,"MACHINE\SYSTEM\CONTROLSET001\CONTROL\DEVICECLASSES"
0,4,System,0xd086a2c76ec0,0x8c,Key,0xf003f,"MACHINE\SYSTEM\CONTROLSET001\ENUM"
0,4,System,0xd086a3feadd0,0x90,Key,0xf003f,"MACHINE\SYSTEM\CONTROLSET001\CONTROL\DEVICECONTAINERS"
0,4,System,0xd086a3fe9d00,0x94,Key,0xf003f,"MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS"
0,4,System,0xd086a40bf3c0,0x98,Key,0xf003f,"MACHINE\SYSTEM\CONTROLSET001\SERVICES"
