"PID","PPID (PARENT NAME)","PROCESS NAME","PROCESS IMPHASH","COMMAND LINE","DLL NAME","DLL PATH","DLL IMPHASH","PROCESS STATUS","DLL STATUS","BASELINE FoO","IMAGE FoO"
"5252","2860 (OfficeClickToR)","AppVShNotify.e","","""C:\Program Files\Common Files\Microsoft Shared\ClickToRun\AppVShNotify.exe""","AppVShNotify.exe","C:\Program Files\Common Files\Microsoft Shared\ClickToRun\AppVShNotify.exe","","UNKNOWN","UNKNOWN","0","1"
"5252","2860 (OfficeClickToR)","AppVShNotify.e","","""C:\Program Files\Common Files\Microsoft Shared\ClickToRun\AppVShNotify.exe""","ucrtbase.dll","C:\WINDOWS\System32\ucrtbase.dll","","UNKNOWN","UNKNOWN","0","78"
"5252","2860 (OfficeClickToR)","AppVShNotify.e","","""C:\Program Files\Common Files\Microsoft Shared\ClickToRun\AppVShNotify.exe""","combase.dll","C:\WINDOWS\System32\combase.dll","","UNKNOWN","UNKNOWN","0","74"
"5252","2860 (OfficeClickToR)","AppVShNotify.e","","""C:\Program Files\Common Files\Microsoft Shared\ClickToRun\AppVShNotify.exe""","SHELL32.dll","C:\WINDOWS\System32\SHELL32.dll","","UNKNOWN","UNKNOWN","0","35"
"7868","5988 (explorer.exe)","Dashlane.exe","","""C:\Users\tdungan\AppData\Roaming\Dashlane\Dashlane.exe"" autoLaunchAtStartup","Dashlane.exe","C:\Users\tdungan\AppData\Roaming\Dashlane\Dashlane.exe","","UNKNOWN","UNKNOWN","0","1"
"7892","5988 (explorer.exe)","DashlanePlugin","","""C:\Users\tdungan\AppData\Roaming\Dashlane\DashlanePlugin.exe"" ws","DashlanePlugin.exe","C:\Users\tdungan\AppData\Roaming\Dashlane\DashlanePlugin.exe","","UNKNOWN","UNKNOWN","0","1"
"8128","5988 (explorer.exe)","OUTLOOK.EXE","","""C:\Program Files (x86)\Microsoft Office\root\Office16\OUTLOOK.EXE"" /restore","OUTLOOK.EXE","C:\Program Files (x86)\Microsoft Office\root\Office16\OUTLOOK.EXE","","UNKNOWN","UNKNOWN","0","1"
"9152","868 (svchost.exe)","iexplore.exe","","""C:\Program Files\Internet Explorer\iexplore.exe"" -startmanager -Embedding","iexplore.exe","C:\Program Files\Internet Explorer\iexplore.exe","","UNKNOWN","UNKNOWN","0","1"
"9152","868 (svchost.exe)","iexplore.exe","","""C:\Program Files\Internet Explorer\iexplore.exe"" -startmanager -Embedding","ucrtbase.dll","C:\WINDOWS\System32\ucrtbase.dll","","UNKNOWN","UNKNOWN","0","78"
"9152","868 (svchost.exe)","iexplore.exe","","""C:\Program Files\Internet Explorer\iexplore.exe"" -startmanager -Embedding","combase.dll","C:\WINDOWS\System32\combase.dll","","UNKNOWN","UNKNOWN","0","74"
