Offset(P),Proto,Local Address,Foreign Address,State,Pid,Owner,Created
0x8c88aed048a0,UDPv4,0.0.0.0:0,*:*,,4016,mfefire.exe,2018-08-30 13:52:52 UTC+0000
0x8c88aed1b460,UDPv4,0.0.0.0:4500,*:*,,556,svchost.exe,2018-08-30 13:52:23 UTC+0000
0x8c88aefed8c0,UDPv4,0.0.0.0:500,*:*,,556,svchost.exe,2018-08-30 13:52:23 UTC+0000
0x8c88aefed8c0,UDPv6,:::500,*:*,,556,svchost.exe,2018-08-30 13:52:23 UTC+0000
0x8c88af2d5940,UDPv4,172.16.6.11:51201,*:*,,9088,svchost.exe,2018-08-30 13:55:00 UTC+0000
0x8c88aea45cb0,TCPv4,0.0.0.0:49666,0.0.0.0:0,LISTENING,556,svchost.exe,2018-08-30 13:52:22 UTC+0000
0x8c88aeabb350,TCPv4,0.0.0.0:49665,0.0.0.0:0,LISTENING,848,svchost.exe,2018-08-30 13:52:22 UTC+0000
0x8c88aeabb4a0,TCPv4,0.0.0.0:49665,0.0.0.0:0,LISTENING,848,svchost.exe,2018-08-30 13:52:22 UTC+0000
0x8c88aeabb4a0,TCPv6,:::49665,:::0,LISTENING,848,svchost.exe,2018-08-30 13:52:22 UTC+0000
0x8c88aeb10940,TCPv4,0.0.0.0:3389,0.0.0.0:0,LISTENING,652,svchost.exe,2018-08-30 13:52:22 UTC+0000
0x8c88af069cb0,TCPv4,172.16.6.11:49788,172.16.4.10:8080,ESTABLISHED,7804,OneDrive.exe,2018-09-06 18:57:05 UTC+0000
0x8c88af628010,UDPv4,127.0.0.1:1900,*:*,,9088,svchost.exe,2018-08-30 13:55:00 UTC+0000
0x8c88af6450f0,UDPv4,127.0.0.1:51202,*:*,,9088,svchost.exe,2018-08-30 13:55:00 UTC+0000
0x8c88afa34500,TCPv4,172.16.6.11:52703,172.16.4.10:8080,CLOSE_WAIT,5848,powershell.exe,2018-08-30 16:43:52 UTC+0000
0x8c88afc2ea80,TCPv4,172.16.6.11:50253,172.16.4.10:8080,CLOSE_WAIT,9036,WinStore.App.e,2018-08-30 13:59:47 UTC+0000
0x8c88afc72a60,TCPv4,172.16.6.11:50263,172.16.4.10:8080,CLOSE_WAIT,9036,WinStore.App.e,2018-08-30 13:59:57 UTC+0000
0x8c88afcea690,TCPv4,172.16.6.11:63826,172.16.4.5:3389,CLOSED,8260,p.exe,2018-09-05 11:34:48 UTC+0000
0x8c88afe28950,UDPv4,0.0.0.0:5355,*:*,,1100,svchost.exe,2018-09-06 13:53:45 UTC+0000
0x8c88b06028f0,UDPv4,0.0.0.0:5050,*:*,,692,svchost.exe,2018-08-30 13:53:54 UTC+0000
0x8c88afe40cb0,TCPv4,172.16.6.11:50259,172.16.4.10:8080,CLOSE_WAIT,9036,WinStore.App.e,2018-08-30 13:59:47 UTC+0000
0x8c88afe80450,TCPv4,172.16.6.11:59352,172.16.7.15:445,ESTABLISHED,4,System,2018-08-31 01:31:24 UTC+0000
0x8c88b0990300,UDPv4,0.0.0.0:5353,*:*,,1100,svchost.exe,2018-08-30 13:52:22 UTC+0000
0x8c88b09f6a70,UDPv4,0.0.0.0:123,*:*,,1072,svchost.exe,2018-08-30 13:52:52 UTC+0000
0x8c88b13cb880,UDPv4,0.0.0.0:0,*:*,,1100,svchost.exe,2018-08-30 13:52:22 UTC+0000
0x8c88b13cb880,UDPv6,:::0,*:*,,1100,svchost.exe,2018-08-30 13:52:22 UTC+0000
0x8c88b186a460,UDPv4,0.0.0.0:0,*:*,,1868,svchost.exe,2018-08-30 13:52:23 UTC+0000
